Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa</strong,IND,F,30,636,30,18,21.2,3.3,6.8,0.488,0.1,0.4,0.25,3.2,6.4,0.503,2,2.2,0.909,1.6,5.2,1.6,0.6,0.7,1,2.6,8.7
Kayla Alexander</strong,CHI,C,3,20,3,0,6.7,1,1.3,0.75,0,0,,1,1.3,0.75,1,1.3,0.75,0.7,2.3,0.3,0,0,0.3,1,3
Rebecca Allen</strong,NYL,G,24,412,24,2,17.2,2.7,6.5,0.417,1.2,2.8,0.426,1.5,3.7,0.409,0.5,0.7,0.813,0.5,2.5,0.7,0.5,0.8,0.7,2.1,7.2
Jillian Alleyne</strong,MIN,C-F,5,14,5,0,2.8,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0,0,,0.4,1,0.2,0,0.2,0,0,0.8
Ariel Atkins</strong,WAS,G,33,804,33,33,24.4,3.7,9,0.416,1.5,4.3,0.357,2.2,4.6,0.471,1.3,1.6,0.811,0.7,2.8,2,1.5,0.5,1,2.2,10.3
Seimone Augustus,MIN,G-F,12,156,12,7,13,1.7,5.3,0.313,0.2,1,0.167,1.5,4.3,0.346,0.3,0.3,0.75,0.2,0.6,1.3,0.4,0.1,1,0.4,3.8
Rachel Banham</strong,CON,G,29,353,29,0,12.2,1.3,4,0.322,0.8,2.5,0.306,0.5,1.5,0.349,0.3,0.4,0.692,0,1,0.9,0.3,0.1,0.9,1.2,3.6
Alana Beard,LAS,G-F,16,235,16,3,14.7,1.4,3.1,0.449,0.1,0.3,0.2,1.3,2.8,0.477,0.4,0.6,0.778,0.1,1.5,1.4,0.8,0.2,0.6,1.3,3.3
Kenisha Bell</strong,MIN,G,3,11,3,0,3.7,0,0.3,0,0,0.3,0,0,0,,0,0,,0,0.3,0.3,0,0,0.3,0.3,0
Alex Bentley</strong,ATL,G,29,634,29,4,21.9,3.4,11.1,0.307,1.1,4.7,0.235,2.3,6.4,0.358,1,1.2,0.857,0.3,1.9,3,0.7,0.3,1.5,1.9,9
Tiffany Bias</strong,NYL,G,12,105,12,0,8.8,0.6,2.3,0.25,0.3,1.6,0.158,0.3,0.8,0.444,0.5,0.6,0.857,0,0.5,0.9,0.3,0,0.7,0.6,1.9
Monique Billings</strong,ATL,F,29,553,29,2,19.1,1.9,5,0.389,0,0,1,1.9,4.9,0.385,1.6,2.1,0.783,2.1,6.9,0.6,0.6,0.4,1.6,2.3,5.5
DeWanna Bonner</strong,PHO,F-G,34,1120,34,34,32.9,5.6,14.8,0.377,1.5,5.6,0.272,4.1,9.2,0.441,4.5,4.9,0.916,1,7.6,2.7,1.3,0.6,1.6,1.6,17.2
Brittany Boyd</strong,NYL,G,33,649,33,17,19.7,2.2,5.5,0.394,0.2,0.7,0.304,1.9,4.8,0.408,0.8,1,0.765,0.8,3.7,4.6,1.4,0.1,2.5,2.1,5.3
Imani McGee-Stafford</strong,DAL,C,29,346,29,6,11.9,1.8,3.8,0.468,0,0.1,0.25,1.7,3.6,0.476,0.3,0.5,0.643,1.5,3.8,0.6,0.6,0.6,1.2,2,3.9
Jessica Breland</strong,ATL,F,33,767,33,33,23.2,3.2,8.3,0.378,0.3,1.2,0.237,2.9,7.2,0.401,0.9,1,0.879,1.3,7.3,1.7,1.3,1.1,1.2,2,7.5
Kalani Brown</strong,LAS,C,28,377,28,0,13.5,1.9,4,0.478,0,0,0,1.9,4,0.482,1.3,1.6,0.783,1.2,3.5,0.6,0.3,0.8,1,1.7,5.1
Lexie Brown</strong,MIN,G,33,605,33,0,18.3,2.5,6.3,0.402,1.6,4.1,0.385,1,2.2,0.432,0.9,1.2,0.789,0.2,1.4,1.4,0.9,0,1.2,1.3,7.6
Kennedy Burke</strong,IND,G-F,31,423,31,7,13.6,1.5,3.8,0.385,0.5,1.3,0.35,1,2.5,0.403,1,1.4,0.705,0.6,1.5,0.7,0.6,0.3,0.7,1,4.4
