Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa</strong,IND,F,30,636,30,18,636,99,203,0.488,3,12,0.25,96,191,0.503,60,66,0.909,48,156,48,18,20,29,77,261
Kayla Alexander</strong,CHI,C,3,20,3,0,20,3,4,0.75,0,0,,3,4,0.75,3,4,0.75,2,7,1,0,0,1,3,9
Rebecca Allen</strong,NYL,G,24,412,24,2,412,65,156,0.417,29,68,0.426,36,88,0.409,13,16,0.813,12,61,17,12,18,17,51,172
Jillian Alleyne</strong,MIN,C-F,5,14,5,0,14,2,6,0.333,0,0,,2,6,0.333,0,0,,2,5,1,0,1,0,0,4
Ariel Atkins</strong,WAS,G,33,804,33,33,804,123,296,0.416,51,143,0.357,72,153,0.471,43,53,0.811,24,93,65,48,18,34,73,340
Seimone Augustus,MIN,G-F,12,156,12,7,156,20,64,0.313,2,12,0.167,18,52,0.346,3,4,0.75,2,7,15,5,1,12,5,45
Rachel Banham</strong,CON,G,29,353,29,0,353,37,115,0.322,22,72,0.306,15,43,0.349,9,13,0.692,1,30,26,8,2,26,34,105
Alana Beard,LAS,G-F,16,235,16,3,235,22,49,0.449,1,5,0.2,21,44,0.477,7,9,0.778,2,24,23,12,3,9,21,52
Kenisha Bell</strong,MIN,G,3,11,3,0,11,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,1,1,0
Alex Bentley</strong,ATL,G,29,634,29,4,634,99,323,0.307,32,136,0.235,67,187,0.358,30,35,0.857,10,54,86,21,9,44,56,260
Tiffany Bias</strong,NYL,G,12,105,12,0,105,7,28,0.25,3,19,0.158,4,9,0.444,6,7,0.857,0,6,11,3,0,8,7,23
Monique Billings</strong,ATL,F,29,553,29,2,553,56,144,0.389,1,1,1,55,143,0.385,47,60,0.783,61,201,16,17,12,46,66,160
DeWanna Bonner</strong,PHO,F-G,34,1120,34,34,1120,190,504,0.377,52,191,0.272,138,313,0.441,153,167,0.916,34,260,92,44,21,53,55,585
Brittany Boyd</strong,NYL,G,33,649,33,17,649,71,180,0.394,7,23,0.304,64,157,0.408,26,34,0.765,27,121,151,47,4,81,68,175
Imani McGee-Stafford</strong,DAL,C,29,346,29,6,346,51,109,0.468,1,4,0.25,50,105,0.476,9,14,0.643,44,111,18,17,18,34,58,112
Jessica Breland</strong,ATL,F,33,767,33,33,767,104,275,0.378,9,38,0.237,95,237,0.401,29,33,0.879,42,240,55,42,35,38,65,246
Kalani Brown</strong,LAS,C,28,377,28,0,377,54,113,0.478,0,1,0,54,112,0.482,36,46,0.783,34,98,17,9,22,29,47,144
