first_name,last_name,position,team,salary
Stephen,Curry,PG,Golden State Warriors,40231758
Chris,Paul,PG,Oklahoma City Thunder,38506482
Russell,Westbrook,PG,Houston Rockets,38506482
James,Harden,SG,Houston Rockets,38199000
Kevin,Durant,PF,Brooklyn Nets,38199000
John,Wall,PG,Houston Rockets,38199000
LeBron,James,SF,Los Angeles Lakers,37436858
Kyle,Lowry,PG,Toronto Raptors,34996296
Blake,Griffin,PF,Detroit Pistons,34449964
Tobias,Harris,PF,Philadelphia 76ers,32742000
Kemba,Walker,PG,Boston Celtics,32742000
Jimmy,Butler,SF,Miami Heat,32742000
Kawhi,Leonard,SF,LA Clippers,32742000
Klay,Thompson,SG,Golden State Warriors,32742000
Gordon,Hayward,SF,Boston Celtics,32700690
Mike,Conley,PG,Utah Jazz,32511624
Kyrie,Irving,PG,Brooklyn Nets,31742000
Khris,Middleton,SF,Milwaukee Bucks,30603448
Paul,George,SG,LA Clippers,30560700
Paul,Millsap,PF,Denver Nuggets,30350000
Damian,Lillard,PG,Portland Trail Blazers,29802321
Kevin,Love,PF,Cleveland Cavaliers,28942830
Nikola,Vucevic,C,Orlando Magic,28000000
Al,Horford,C,Philadelphia 76ers,28000000
DeMar,DeRozan,SF,San Antonio Spurs,27739975
CJ,McCollum,SG,Portland Trail Blazers,27556959
Joel,Embiid,C,Philadelphia 76ers,27504630
Andrew,Wiggins,SF,Golden State Warriors,27504630
Nikola,Jokic,C,Denver Nuggets,27504630
Kristaps,Porzingis,C,Dallas Mavericks,27285000
Devin,Booker,SG,Phoenix Suns,27285000
D'Angelo,Russell,PG,Minnesota Timberwolves,27285000
Karl-Anthony,Towns,C,Minnesota Timberwolves,27285000
Otto,Porter,Jr. SF,Chicago Bulls,27250575
Bradley,Beal,SG,Washington Wizards,27093019
Andre,Drummond,C,Cleveland Cavaliers,27093019
Anthony,Davis,PF,Los Angeles Lakers,27093018
Hassan,Whiteside,C,Portland Trail Blazers,27093017
