team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Los Angeles Sparks,14284,1997,New York Liberty,Great Western Forum,Los Angeles,CA,Regular season,LAS,NYL
Cleveland Rockers,11455,1997,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
Utah Starzz,8915,1997,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Phoenix Mercury,16102,1997,Charlotte Sting,US Airways Center,Phoenix,AZ,Regular season,PHO,CHA
Utah Starzz,8036,1997,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
Sacramento Monarchs,15259,1997,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Houston Comets,16285,1997,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Los Angeles Sparks,6397,1997,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
Cleveland Rockers,8845,1997,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Houston Comets,8931,1997,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Sacramento Monarchs,6248,1997,Charlotte Sting,ARCO Arena,Sacramento,CA,Regular season,SAC,CHA
Los Angeles Sparks,6670,1997,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Cleveland Rockers,5930,1997,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Utah Starzz,6529,1997,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
New York Liberty,17780,1997,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Charlotte Sting,7289,1997,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,CLE
Houston Comets,8301,1997,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
New York Liberty,8792,1997,Houston Comets,Madison Square Garden,New York,NY,Regular season,NYL,HOU
Sacramento Monarchs,6156,1997,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Cleveland Rockers,7414,1997,Los Angeles Sparks,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,LAS
Utah Starzz,6718,1997,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Houston Comets,10239,1997,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Charlotte Sting,8975,1997,Los Angeles Sparks,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,LAS
Utah Starzz,7689,1997,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Sacramento Monarchs,7420,1997,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
Houston Comets,5933,1997,Charlotte Sting,Compaq Center,Houston,TX,Regular season,HOU,CHA
Utah Starzz,5783,1997,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Phoenix Mercury,13731,1997,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Los Angeles Sparks,5987,1997,Cleveland Rockers,Great Western Forum,Los Angeles,CA,Regular season,LAS,CLE
Charlotte Sting,8913,1997,New York Liberty,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,NYL
Phoenix Mercury,11892,1997,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Cleveland Rockers,5629,1997,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
New York Liberty,9951,1997,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Los Angeles Sparks,7187,1997,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
Houston Comets,7751,1997,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Charlotte Sting,6166,1997,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,CLE
Utah Starzz,7076,1997,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Los Angeles Sparks,10494,1997,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Cleveland Rockers,6749,1997,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Houston Comets,6882,1997,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
New York Liberty,8554,1997,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Sacramento Monarchs,8420,1997,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Charlotte Sting,6110,1997,Utah Starzz,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,UTA
Phoenix Mercury,12636,1997,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Los Angeles Sparks,7240,1997,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
Cleveland Rockers,4301,1997,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
New York Liberty,9017,1997,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Sacramento Monarchs,6270,1997,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
New York Liberty,16236,1997,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Cleveland Rockers,6485,1997,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Charlotte Sting,6336,1997,Los Angeles Sparks,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,LAS
Sacramento Monarchs,5913,1997,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
New York Liberty,9011,1997,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Phoenix Mercury,12581,1997,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Charlotte Sting,7266,1997,New York Liberty,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,NYL
Los Angeles Sparks,6815,1997,Cleveland Rockers,Great Western Forum,Los Angeles,CA,Regular season,LAS,CLE
Phoenix Mercury,15648,1997,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Sacramento Monarchs,6402,1997,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
Utah Starzz,7108,1997,Cleveland Rockers,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CLE
New York Liberty,11502,1997,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Sacramento Monarchs,8629,1997,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Phoenix Mercury,11012,1997,Cleveland Rockers,US Airways Center,Phoenix,AZ,Regular season,PHO,CLE
Houston Comets,8071,1997,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
New York Liberty,11934,1997,Sacramento Monarchs,Madison Square Garden,New York,NY,Regular season,NYL,SAC
Charlotte Sting,9166,1997,Phoenix Mercury,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,PHO
Los Angeles Sparks,7231,1997,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
Cleveland Rockers,7014,1997,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Charlotte Sting,6871,1997,Sacramento Monarchs,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,SAC
Los Angeles Sparks,8009,1997,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
New York Liberty,14660,1997,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Cleveland Rockers,7541,1997,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
Utah Starzz,8561,1997,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Los Angeles Sparks,8792,1997,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
Utah Starzz,6526,1997,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
Phoenix Mercury,10898,1997,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Cleveland Rockers,6678,1997,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
New York Liberty,16944,1997,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Phoenix Mercury,11694,1997,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Sacramento Monarchs,5795,1997,Charlotte Sting,ARCO Arena,Sacramento,CA,Regular season,SAC,CHA
